영화관명,브랜드명,영업상태명,영화관지역명,광역단체,기초단체,번지명,도로명,x(epsg5174),y(epsg5174),lat_wgs84,lon_wgs84
강남,CGV,영업,서울,서울특별시,강남,서울특별시 강남구 논현동 4-15,서울특별시 강남구 도산대로 128 (논현동),202263.89746317445,444383.0923225998,37.5169719062298,127.02270573272
강변,CGV,영업,서울,서울특별시,광진구,서울특별시 광진구 구의동 546-4 테크노마트10층,"서울특별시 광진구 광나루로56길 85, 10층 (구의동, 테크노마트)",208394.4164,448165.28,37.535725176732,127.095692162256
건대입구,CGV,영업,서울,서울특별시,광진구,서울특별시 광진구 자양동 9-4 몰오브케이,"서울특별시 광진구 아차산로30길 26, 몰오브케이 4층 (자양동)",205845.9467,448616.8477,37.5397501280997,127.066891680782
고덕강일,CGV,영업,서울,서울특별시,강동구,서울특별시 강동구 고덕동 353-23,"서울특별시 강동구 고덕비즈밸리로 51, 3,4층 (고덕동)",213847.9237,451564.47,,
구로,CGV,영업,서울,서울특별시,구로구,서울특별시 구로구 구로동 573 애경백화점 6층,"서울특별시 구로구 구로중앙로 152 (구로동, 애경백화점 6층)",189570.3609,444336.0513,37.5011601442131,126.882773011925
대학로,CGV,영업,서울,서울특별시,종로구,서울특별시 종로구 명륜2가 41-9 3층,"서울특별시 종로구 대명길 28 (명륜2가,3층)",199916.8335,453462.4209,37.5834579529328,126.999842630109
동대문,CGV,영업,서울,서울특별시,중구,서울특별시 중구 을지로6가 17-2 현대시티타워,"서울특별시 중구 장충단로13길 20, 현대시티타워 10층 (을지로6가)",200613.5103,451817.5154,37.568734553218,127.007666479829
등촌,CGV,영업,서울,서울특별시,강서구,서울특별시 강서구 등촌동 639-23 3~9층,"서울특별시 강서구 공항대로45길 63, 3~9층 (등촌동)",187210.9178,450631.4355,,
명동,CGV,영업,서울,서울특별시,중구,서울특별시 중구 명동2가 83-5 Noon Square,"서울특별시 중구 명동길 14, Noon Square 8층 (명동2가)",198620.3745728446,450998.8053516843,37.5634116488196,126.98288772495
미아,CGV,영업,서울,서울특별시,강북구,서울특별시 강북구 미아동 35-4 트레지오 쇼핑몰 10층,"서울특별시 강북구 도봉로 34, 10층 (미아동, 트레지오빌딩)",202642.446,456636.3082,37.6120685327599,127.03072164571
방학,CGV,영업,서울,서울특별시,도봉구,서울특별시 도봉구 방학동 707-6,"서울특별시 도봉구 도봉로 684, 6~7층 (방학동)",203783.2123,462550.4573,,
불광,CGV,영업,서울,서울특별시,은평구,서울특별시 은평구 대조동 240 팜스퀘어,"서울특별시 은평구 불광로 20, 13층 (대조동, 팜스퀘어)",193661.7324,456379.1939,37.6097357749976,126.928938477038
상봉,CGV,영업,서울,서울특별시,중랑구,서울특별시 중랑구 상봉동 501,"서울특별시 중랑구 상봉로 131, 지하1,2층 (상봉동, 상봉듀오트리스주상복합)",208076.3867,455017.5286,37.5974066200134,127.092177640813
성신여대입구,CGV,영업,서울,서울특별시,성북구,서울특별시 성북구 동선동1가 1-2 유타,"서울특별시 성북구 동소문로 106, 유타 10층 (동선동1가)",201447.4187,454477.1033,37.5925747617089,127.017088831326
수유,CGV,영업,서울,서울특별시,강북구,서울특별시 강북구 수유동 168-12,"서울특별시 강북구 도봉로 399, 8층 (수유동)",202565.2368,460003.1177,37.6424075100379,127.029806166339
